pair,scheme,mean_error_rate,std_error_rate,mean_rmse1,mean_rmse2,mean_eval_us,std_eval_us
elu_elu_deriv,many_lut,0.055,0.0036055512754639926,0.011822470772393333,0.004398565484426666,110562.9948,6951.6168975516575
elu_elu_deriv,sdr_pbs,0.014666666666666666,0.003055050463303892,0.0062920120651000005,0.0024978692794303333,111099.72213333333,7013.357576525199
elu_elu_deriv,standard_pbs,0.008,0.003605551275463989,0.006016818762544,0.0021723966637570004,222220.2047,11366.621581363932
gelu_gelu_deriv,many_lut,0.08133333333333333,0.012503332889007363,0.013697655072453333,0.005762601736352999,109891.96373333334,6573.829035049178
gelu_gelu_deriv,sdr_pbs,0.016,0.001999999999999999,0.007115880182864,0.0032782823770943336,110382.86456666666,6359.654597931288
gelu_gelu_deriv,standard_pbs,0.011000000000000001,0.003999999999999999,0.0071302723599643335,0.0029103585258810002,220789.2034,11563.75595695235
mish_mish_deriv,many_lut,0.051666666666666666,0.0041633319989322634,0.0112948959327,0.004884240503933333,109651.01520000001,5967.442339673528
mish_mish_deriv,sdr_pbs,0.0023333333333333335,0.0011547005383792514,0.005918201045115,0.002596659056206,110201.32053333333,6838.665162755279
mish_mish_deriv,standard_pbs,0.0013333333333333333,0.0005773502691896257,0.005502036362851,0.0023977815126463332,220167.49653333332,13380.010905447867
sigmoid_sigmoid_deriv,many_lut,0.12066666666666666,0.002081665999466134,0.003548244725554,0.0015111363747236668,111960.95596666668,6484.124177488902
sigmoid_sigmoid_deriv,sdr_pbs,0.016666666666666666,0.004041451884327382,0.0017728631742463332,0.0008035562682322667,112040.14276666667,7159.231774110273
sigmoid_sigmoid_deriv,standard_pbs,0.014333333333333332,0.0020816659994661326,0.0017292952984653334,0.0007694572212686666,221193.57799999998,12605.496629387917
softplus_sigmoid,many_lut,0.015,0.0034641016151377556,0.012052785917816666,0.0027499731549670003,111400.425,5719.649632803325
softplus_sigmoid,sdr_pbs,0.0,0.0,0.0060793671406066665,0.00151319914639,111377.368,5655.755596721788
softplus_sigmoid,standard_pbs,0.0,0.0,0.005958500835460667,0.0014156554916770002,222157.99213333335,11307.89391495534
swish_swish_deriv,many_lut,0.041,0.008185352771872448,0.013450438202946668,0.004519776994232334,111396.22796666667,5724.973654283601
swish_swish_deriv,sdr_pbs,0.002,0.0017320508075688774,0.006951942605029334,0.002409547320307667,111369.43290000001,5660.799721408711
swish_swish_deriv,standard_pbs,0.0006666666666666666,0.0011547005383792516,0.006838563060993667,0.0022082171396873335,222051.74376666665,10924.657163304864
tanh_sech2,many_lut,0.057999999999999996,0.007937253933193774,0.005533659658501666,0.004897923518127667,111166.67123333334,5758.066587511584
tanh_sech2,sdr_pbs,0.0016666666666666668,0.0015275252316519468,0.0029124906498839997,0.002629233400158667,110772.9287,5890.577861931567
tanh_sech2,standard_pbs,0.0013333333333333333,0.0015275252316519468,0.0027775598614556665,0.0024293176338566667,222593.80416666667,11238.954883613205
