bitwidth_pair,bitwidth,scheme,worst_rmse,error_rate,avg_eval_us
gelu_gelu_deriv,10,standard_pbs,0.006725853994887,0.014,211796.3679
gelu_gelu_deriv,10,sdr_pbs,0.006833250983139,0.01,108098.8059
gelu_gelu_deriv,10,many_lut,0.01371375623264,0.061,107913.6916
gelu_gelu_deriv,11,standard_pbs,0.003500969865242,0.0,443750.193
gelu_gelu_deriv,11,sdr_pbs,0.003509922380644,0.0,222569.4775
gelu_gelu_deriv,8,standard_pbs,0.02914772278518,0.261,48900.6046
gelu_gelu_deriv,8,sdr_pbs,0.0277662780555,0.251,24648.4617
gelu_gelu_deriv,8,many_lut,0.01570440160329,0.084,105133.0311
gelu_gelu_deriv,9,standard_pbs,0.01391036706757,0.073,103934.2119
gelu_gelu_deriv,9,sdr_pbs,0.01430189106991,0.087,51576.8293
gelu_gelu_deriv,9,many_lut,0.01317841609316,0.088,105327.7403
softplus_sigmoid,10,standard_pbs,0.005820978315494,0.0,212963.207
softplus_sigmoid,10,sdr_pbs,0.005840355760516,0.0,105879.3991
softplus_sigmoid,10,many_lut,0.01193954868849,0.009,105860.5971
softplus_sigmoid,11,standard_pbs,0.003054826663899,0.0,446409.3863
softplus_sigmoid,11,sdr_pbs,0.003014596287492,0.0,222216.5328
softplus_sigmoid,8,standard_pbs,0.02522366135159,0.181,49470.7532
softplus_sigmoid,8,sdr_pbs,0.02367845927808,0.177,24451.4317
softplus_sigmoid,8,many_lut,0.0135013278006,0.03,105596.6785
softplus_sigmoid,9,standard_pbs,0.01197931223703,0.019,104210.9345
softplus_sigmoid,9,sdr_pbs,0.01216138212148,0.019,52025.8358
softplus_sigmoid,9,many_lut,0.01130117286386,0.011,106207.9838
tanh_sech2,10,standard_pbs,0.002846599302394,0.001,211523.3403
tanh_sech2,10,sdr_pbs,0.002735673720877,0.003,105444.7288
tanh_sech2,10,many_lut,0.005201731921504,0.051,106074.2475
tanh_sech2,11,standard_pbs,0.001452384432642,0.0,446129.2335
tanh_sech2,11,sdr_pbs,0.00134123506875,0.0,225385.4207
tanh_sech2,8,standard_pbs,0.01115678406706,0.285,48921.3067
tanh_sech2,8,sdr_pbs,0.01098328967311,0.304,24691.8753
tanh_sech2,8,many_lut,0.006194997555206,0.113,105085.4739
tanh_sech2,9,standard_pbs,0.005509800752752,0.056,103844.1699
tanh_sech2,9,sdr_pbs,0.005798555015161,0.082,52440.4075
tanh_sech2,9,many_lut,0.005820080112466,0.068,106947.4655
